,train loss,true loss,val acc
0,695.2145249843597,951.2338497638702,0.1595
1,743.8428853750229,930.0539116859436,0.178
2,731.0370042324066,926.9684815406799,0.187
3,711.2059706449509,874.6964544057846,0.234
4,689.3382108211517,859.500138759613,0.238
5,676.4423742294312,818.4306153059006,0.258
6,668.116574048996,829.1099019050598,0.253
7,659.5646485090256,835.7063636779785,0.242
8,650.4166795015335,796.4386216402054,0.283
9,640.5904821157455,776.9584131240845,0.3015
10,637.5301030874252,768.7511539459229,0.3095
11,631.1263371706009,773.5571368932724,0.313
12,626.3633271455765,762.7728788852692,0.32
13,624.9094372987747,774.3467861413956,0.3135
14,624.1204295158386,766.4426548480988,0.335
15,621.4110451936722,764.6931352615356,0.323
16,620.5033071041107,754.5059102773666,0.337
17,619.6454035043716,764.2768995761871,0.332
18,615.7503175735474,745.3935270309448,0.344
19,615.8191801309586,766.5729340314865,0.3335
20,613.6737402677536,753.4252815246582,0.323
21,610.9839044809341,739.1600396633148,0.339
22,607.6214702129364,769.0769311189651,0.3255
23,607.1263371706009,731.0452890396118,0.349
24,606.0688806772232,739.7302356958389,0.3555
25,603.3132121562958,722.9928089380264,0.352
26,599.7892895936966,714.5773801803589,0.3505
27,597.80706346035,713.6577771902084,0.3645
28,594.2742116451263,725.1439950466156,0.344
29,593.5011137723923,702.4691046476364,0.364
30,590.6974700689316,720.4337482452393,0.355
31,590.8735378980637,723.0374244451523,0.361
32,587.2700835466385,718.1453365087509,0.3635
33,586.3013391494751,718.2103334665298,0.3565
34,582.6976381540298,700.9560724496841,0.374
35,582.7739500999451,695.6587481498718,0.376
36,578.2490388154984,705.0744392871857,0.374
37,578.3304163217545,687.7244046926498,0.3875
38,575.5053579807281,682.3489881753922,0.387
39,574.6516628265381,692.0624525547028,0.379
40,570.8200923204422,670.216594338417,0.3875
41,570.7890763282776,684.9603288173676,0.385
42,570.0542775392532,672.9551831483841,0.3915
43,567.3305639028549,673.0286917686462,0.386
44,566.3492623567581,669.217657327652,0.394
45,564.1453485488892,673.9674810171127,0.3875
46,562.3982871770859,658.5363025665283,0.3955
47,560.9180063009262,664.3645396232605,0.388
48,559.3104687929153,677.6358288526535,0.3855
49,558.2527186870575,657.7895988225937,0.3895
50,555.3942401409149,648.025844335556,0.415
51,553.7357647418976,655.4110848903656,0.407
52,553.6285655498505,647.7915843725204,0.4115
53,551.6379833221436,646.3449181318283,0.4025
54,549.1188253164291,637.867998957634,0.405
55,545.8503262996674,635.5180490016937,0.4205
56,546.0450001955032,643.6829097270966,0.402
57,543.9465554952621,639.0786278247833,0.406
