,train loss,true loss,val acc
0,615.3653795719147,841.6379318237305,0.2065
1,597.5258206129074,808.3570066690445,0.2675
2,588.3778977394104,798.9845472574234,0.269
3,582.73974776268,788.7558470964432,0.2805
4,577.1499698162079,777.2302310466766,0.2905
5,571.7218298912048,758.9578720331192,0.3135
6,565.1782940626144,757.6140220165253,0.302
7,562.0492111444473,747.9785249233246,0.316
8,557.6717065572739,757.8758642673492,0.305
9,553.6626843214035,763.8230450153351,0.2935
10,552.0961263179779,728.0704779624939,0.3305
11,549.4131298065186,733.866327047348,0.3325
12,546.7911205291748,720.3322290182114,0.3345
13,544.2196944952011,719.9795775413513,0.345
14,543.2686278820038,705.5611553192139,0.346
15,539.7224761247635,707.5300209522247,0.355
16,539.7020317316055,710.1933062076569,0.3405
17,536.4066178798676,701.3128074407578,0.3595
18,534.4095323085785,695.7185679674149,0.3585
19,533.140811920166,693.7634654045105,0.3605
20,530.3948051929474,689.8998910188675,0.3595
21,530.2959628105164,682.2765581607819,0.37
22,526.1188840866089,688.0754739046097,0.3575
23,526.2333750724792,677.3932619094849,0.3675
24,524.794974565506,677.8052061796188,0.374
25,522.2406415939331,684.5717914104462,0.37
26,521.1347107887268,671.9636750221252,0.377
27,520.2756304740906,668.281302690506,0.39
28,517.3971529006958,693.1186193227768,0.355
29,515.6040011644363,677.1623615026474,0.368
30,514.4624720811844,674.6470164060593,0.3645
31,512.8419253826141,663.787565112114,0.3815
32,511.2662613391876,661.9073823690414,0.3815
33,510.1313456296921,656.5421626567841,0.3855
34,507.77473628520966,660.9167922735214,0.3755
35,507.3591994047165,650.1662168502808,0.3875
36,504.40395987033844,651.5196861028671,0.392
37,502.4281290769577,644.6376377344131,0.3935
38,503.06916642189026,640.4369276762009,0.3985
39,500.40552401542664,643.579585313797,0.397
40,498.94169545173645,641.5172365903854,0.4
41,497.0135346651077,638.7314060926437,0.397
42,496.17611742019653,633.9996562004089,0.3975
43,494.75130462646484,633.2467105388641,0.3925
44,493.07017409801483,623.9448040723801,0.4075
45,491.46100640296936,631.3402498960495,0.398
46,491.46283400058746,620.5409091711044,0.405
47,489.6193698644638,620.7939950227737,0.408
48,488.6233557462692,624.9795446395874,0.3975
49,486.2687574625015,623.2619961500168,0.406
50,486.1988277435303,620.4239492416382,0.416
51,483.81008541584015,605.8153293132782,0.416
52,484.52133774757385,619.952574133873,0.405
53,482.37507343292236,616.5863846540451,0.412
54,481.3466682434082,605.8183748722076,0.4145
55,479.67004776000977,604.9964627027512,0.409
56,477.62410140037537,605.6501362323761,0.4255
57,475.64286983013153,602.0788006782532,0.431
58,474.668405354023,601.844935297966,0.4175
59,474.3702006340027,598.651073217392,0.404
60,472.44607651233673,609.8722583055496,0.421
61,471.8125972747803,603.8998800516129,0.415
62,471.8836076259613,602.5804166793823,0.4205
63,467.56390315294266,594.3479044437408,0.4165
64,467.385781288147,598.6217346191406,0.427
65,467.7586171030998,587.7801594734192,0.4425
66,465.6318130493164,618.6487990617752,0.419
67,466.0866838693619,591.9626457691193,0.421
68,464.93120777606964,584.3139654397964,0.432
69,462.0786644220352,587.9462668895721,0.4195
70,461.5472228527069,585.4123265743256,0.439
71,460.009840965271,596.5649621486664,0.4145
72,459.9107519388199,585.4291198253632,0.442
73,459.99819511175156,584.5856075286865,0.442
74,457.18187814950943,576.3976745605469,0.4325
75,455.42208558321,582.4280775785446,0.442
76,456.51978945732117,573.9748528003693,0.435
77,455.0607433319092,579.9409345388412,0.4255
78,454.90181040763855,572.639128446579,0.429
79,452.09676468372345,569.1283736228943,0.4255
80,451.39055436849594,562.0520695447922,0.4465
81,450.56287610530853,569.4545172452927,0.435
82,449.83993393182755,564.8370059728622,0.4505
83,448.7525203824043,571.6254600286484,0.423
84,448.895689368248,567.5924326181412,0.4445
85,446.9412575364113,571.3589146137238,0.445
86,446.8679039478302,560.6310311555862,0.4485
87,446.0685570240021,591.2965333461761,0.4105
88,444.41024309396744,570.8115046024323,0.4445
89,443.3792413473129,562.1730910539627,0.45
90,442.43699729442596,562.8165462017059,0.4275
91,442.4816648364067,554.3293950557709,0.448
92,441.50854617357254,554.8535974025726,0.4525
93,439.51606047153473,561.8721494674683,0.4415
94,438.22276997566223,571.7015900611877,0.441
95,440.7563539147377,555.8408185243607,0.442
96,437.97572696208954,551.5042506456375,0.4505
97,436.2462661266327,554.2184503078461,0.445
98,436.1624071598053,545.1978838443756,0.4525
99,435.92722940444946,550.7970626354218,0.438
100,410.78823482990265,521.5890281200409,0.4585
101,403.0922706127167,519.3479844331741,0.4635
102,401.8064482808113,515.9875147342682,0.4585
103,400.2988420724869,511.89516043663025,0.4655
104,399.11505633592606,514.358684182167,0.4645
105,398.1270903944969,511.98516142368317,0.4655
106,397.0637422800064,510.53166353702545,0.4705
107,397.73880338668823,510.0266673564911,0.464
108,395.96293437480927,508.92652666568756,0.4565
109,395.78298300504684,511.3556716442108,0.4615
110,395.1039093732834,507.87949216365814,0.467
111,394.177092730999,509.77320528030396,0.4635
112,394.1151000261307,507.2132486104965,0.4625
113,392.1156972050667,507.9464281797409,0.462
114,393.6234799027443,508.33219969272614,0.4615
115,391.82823634147644,506.1395984888077,0.461
116,392.2054491043091,508.00602436065674,0.469
117,391.77456390857697,504.95411336421967,0.468
118,390.99623852968216,503.8123880624771,0.459
119,391.07018280029297,506.9888690710068,0.4545
120,390.60948342084885,505.60675060749054,0.468
121,390.4356461763382,504.62409245967865,0.466
122,389.44482880830765,503.5879567861557,0.467
123,390.0338822007179,505.01373052597046,0.4655
124,390.2902085185051,503.32225489616394,0.4625
125,388.67426455020905,503.05510890483856,0.4655
126,389.63748002052307,501.9337216615677,0.465
127,389.1091915369034,500.87266731262207,0.4645
128,387.32749593257904,499.08924198150635,0.4705
