cuda: True
Files already downloaded and verified
Files already downloaded and verified
2000
Epoch: 49 True Loss: 659.938446521759
Epoch: 49 Val Acc: 0.4005
Epoch 50 Train Loss: 562.7485467195511
Epoch: 50 True Loss: 664.1848034858704
Epoch: 50 Val Acc: 0.398
Epoch 51 Train Loss: 563.5286387205124
Epoch: 51 True Loss: 668.2969709634781
Epoch: 51 Val Acc: 0.394
Epoch 52 Train Loss: 559.0015267133713
Epoch: 52 True Loss: 662.4416035413742
Epoch: 52 Val Acc: 0.41
Epoch 53 Train Loss: 560.7978984117508
Epoch: 53 True Loss: 660.8651441335678
Epoch: 53 Val Acc: 0.4005
Epoch 54 Train Loss: 558.4097225666046
Epoch: 54 True Loss: 653.3348529338837
Epoch: 54 Val Acc: 0.406
Epoch 55 Train Loss: 558.0629692077637
Epoch: 55 True Loss: 668.4825731515884
Epoch: 55 Val Acc: 0.3745
Epoch 56 Train Loss: 554.9930596351624
Epoch: 56 True Loss: 665.9815338850021
Epoch: 56 Val Acc: 0.397
Epoch 57 Train Loss: 554.1851985454559
Epoch: 57 True Loss: 643.6357160806656
Epoch: 57 Val Acc: 0.408
Epoch 58 Train Loss: 552.3149198293686
Epoch: 58 True Loss: 643.6653144359589
Epoch: 58 Val Acc: 0.405
Epoch 59 Train Loss: 552.0386153459549
Epoch: 59 True Loss: 655.8525688648224
Epoch: 59 Val Acc: 0.4065
Epoch 60 Train Loss: 550.4098819494247
Epoch: 60 True Loss: 654.8124911785126
Epoch: 60 Val Acc: 0.4095
Epoch 61 Train Loss: 548.4647554159164
Epoch: 61 True Loss: 636.3887728452682
Epoch: 61 Val Acc: 0.413
Epoch 62 Train Loss: 548.9210442304611
Epoch: 62 True Loss: 642.6526206731796
Epoch: 62 Val Acc: 0.4005
Epoch 63 Train Loss: 546.8052182197571
Epoch: 63 True Loss: 645.7009106874466
Epoch: 63 Val Acc: 0.4015
Epoch 64 Train Loss: 546.1118679046631
Epoch: 64 True Loss: 643.9109436273575
Epoch: 64 Val Acc: 0.4005
Epoch 65 Train Loss: 542.4646170139313
Epoch: 65 True Loss: 637.4565145969391
Epoch: 65 Val Acc: 0.4085
Epoch 66 Train Loss: 542.1225837469101
Epoch: 66 True Loss: 636.3384830951691
Epoch: 66 Val Acc: 0.4085
Epoch 67 Train Loss: 540.7544440031052
Epoch: 67 True Loss: 626.190801024437
Epoch: 67 Val Acc: 0.4135
Epoch 68 Train Loss: 539.8299287557602
Epoch: 68 True Loss: 631.1585717201233
Epoch: 68 Val Acc: 0.4145
Epoch 69 Train Loss: 538.5241770744324
Epoch: 69 True Loss: 631.865246295929
Epoch: 69 Val Acc: 0.41
Epoch 70 Train Loss: 537.3112238645554
Epoch: 70 True Loss: 630.1279129981995
Epoch: 70 Val Acc: 0.4125
Epoch 71 Train Loss: 535.3710163831711
Epoch: 71 True Loss: 620.1279776096344
Epoch: 71 Val Acc: 0.4145
Epoch 72 Train Loss: 535.2881910800934
Epoch: 72 True Loss: 626.9911398887634
Epoch: 72 Val Acc: 0.417
Epoch 73 Train Loss: 534.8909115791321
Epoch: 73 True Loss: 626.3708355426788
Epoch: 73 Val Acc: 0.4145
Epoch 74 Train Loss: 532.2516008615494
Epoch: 74 True Loss: 622.471442937851
Epoch: 74 Val Acc: 0.4155
Epoch 75 Train Loss: 530.681294798851
Epoch: 75 True Loss: 621.2569776773453
Epoch: 75 Val Acc: 0.4055
Epoch 76 Train Loss: 529.1398456096649
Epoch: 76 True Loss: 618.4966462850571
Epoch: 76 Val Acc: 0.419
Epoch 77 Train Loss: 528.6221981048584
Epoch: 77 True Loss: 625.3502255678177
Epoch: 77 Val Acc: 0.4125
Epoch 78 Train Loss: 527.6466617584229
Epoch: 78 True Loss: 606.6261737346649
Epoch: 78 Val Acc: 0.4245
Epoch 79 Train Loss: 526.8946117162704
Epoch: 79 True Loss: 611.5380413532257
Epoch: 79 Val Acc: 0.4285
Epoch 80 Train Loss: 524.3503646850586
Epoch: 80 True Loss: 619.0734112262726
Epoch: 80 Val Acc: 0.4145
Epoch 81 Train Loss: 525.6020754575729
Epoch: 81 True Loss: 615.0292251110077
Epoch: 81 Val Acc: 0.421
Epoch 82 Train Loss: 522.9492027759552
Epoch: 82 True Loss: 613.0243096351624
Epoch: 82 Val Acc: 0.4255
Epoch 83 Train Loss: 522.8530166149139
Epoch: 83 True Loss: 616.6429527997971
Epoch: 83 Val Acc: 0.414
Epoch 84 Train Loss: 520.4290043115616
Epoch: 84 True Loss: 613.3486306667328
Epoch: 84 Val Acc: 0.4155
Epoch 85 Train Loss: 521.6742115020752
Epoch: 85 True Loss: 598.7454607486725
Epoch: 85 Val Acc: 0.419
Epoch 86 Train Loss: 518.8537849187851
Epoch: 86 True Loss: 601.9110426902771
Epoch: 86 Val Acc: 0.427
Epoch 87 Train Loss: 518.3955805301666
Epoch: 87 True Loss: 605.2311900854111
Epoch: 87 Val Acc: 0.4275
Epoch 88 Train Loss: 519.6553885936737
Epoch: 88 True Loss: 609.9736263751984
Epoch: 88 Val Acc: 0.423
Epoch 89 Train Loss: 517.0327033996582
Epoch: 89 True Loss: 607.1200685501099
Epoch: 89 Val Acc: 0.4195
Epoch 90 Train Loss: 514.1980690956116
Epoch: 90 True Loss: 590.6574132442474
Epoch: 90 Val Acc: 0.436
Epoch 91 Train Loss: 511.8387738466263
Epoch: 91 True Loss: 598.8227330446243
Epoch: 91 Val Acc: 0.43
Epoch 92 Train Loss: 513.0531643629074
Epoch: 92 True Loss: 601.7682197093964
Epoch: 92 Val Acc: 0.4215
Epoch 93 Train Loss: 511.08670568466187
Epoch: 93 True Loss: 586.597229719162
Epoch: 93 Val Acc: 0.433
Epoch 94 Train Loss: 510.6227900981903
Epoch: 94 True Loss: 590.0658757686615
Epoch: 94 Val Acc: 0.4285
Epoch 95 Train Loss: 508.7424272298813
Epoch: 95 True Loss: 591.1342207193375
Epoch: 95 Val Acc: 0.4265
Epoch 96 Train Loss: 507.68188059329987
Epoch: 96 True Loss: 584.1578948497772
Epoch: 96 Val Acc: 0.4305
Epoch 97 Train Loss: 506.82033336162567
Epoch: 97 True Loss: 594.1134903430939
Epoch: 97 Val Acc: 0.4255
Epoch 98 Train Loss: 506.7506217956543
Epoch: 98 True Loss: 585.8314870595932
Epoch: 98 Val Acc: 0.4385
Epoch 99 Train Loss: 503.78887701034546
Epoch: 99 True Loss: 573.614869594574
Epoch: 99 Val Acc: 0.437
Epoch 100 Train Loss: 506.79859042167664
Epoch: 100 True Loss: 607.5721349716187
Epoch: 100 Val Acc: 0.415
Epoch 101 Train Loss: 505.6291848421097
Epoch: 101 True Loss: 587.0156078338623
Epoch: 101 Val Acc: 0.4395
Epoch 102 Train Loss: 502.4768415093422
Epoch: 102 True Loss: 584.3929485082626
Epoch: 102 Val Acc: 0.4395
Epoch 103 Train Loss: 501.6787750720978
Epoch: 103 True Loss: 578.7294434309006
Epoch: 103 Val Acc: 0.4375
Epoch 104 Train Loss: 502.8210297822952
Epoch: 104 True Loss: 587.8900535106659
Epoch: 104 Val Acc: 0.4295
Epoch 105 Train Loss: 500.5383709669113
Epoch: 105 True Loss: 586.8862706422806
Epoch: 105 Val Acc: 0.435
Epoch 106 Train Loss: 497.63469618558884
Epoch: 106 True Loss: 579.9867259263992
Epoch: 106 Val Acc: 0.435
Epoch 107 Train Loss: 499.68048989772797
Epoch: 107 True Loss: 602.0074177980423
Epoch: 107 Val Acc: 0.4275
Epoch 108 Train Loss: 498.1757696866989
Epoch: 108 True Loss: 583.5279475450516
Epoch: 108 Val Acc: 0.445
Epoch 109 Train Loss: 495.753398835659
Epoch: 109 True Loss: 570.0850439071655
Epoch: 109 Val Acc: 0.447
Epoch 110 Train Loss: 497.5317678451538
Epoch: 110 True Loss: 568.0922980308533
Epoch: 110 Val Acc: 0.438
Epoch 111 Train Loss: 493.7424427270889
Epoch: 111 True Loss: 584.1744599342346
Epoch: 111 Val Acc: 0.433
Epoch 112 Train Loss: 494.0820587873459
Epoch: 112 True Loss: 580.8591064214706
Epoch: 112 Val Acc: 0.4315
Epoch 113 Train Loss: 495.19774079322815
Epoch: 113 True Loss: 571.5781335830688
Epoch: 113 Val Acc: 0.4575
Epoch 114 Train Loss: 492.08756524324417
Epoch: 114 True Loss: 573.6240347623825
Epoch: 114 Val Acc: 0.444
Epoch 115 Train Loss: 491.38736486434937
Epoch: 115 True Loss: 581.2502282857895
Epoch: 115 Val Acc: 0.4285
Epoch 116 Train Loss: 489.73987662792206
Epoch: 116 True Loss: 579.0828113555908
Epoch: 116 Val Acc: 0.431
Epoch 117 Train Loss: 489.68261647224426
Epoch: 117 True Loss: 572.6061376333237
Epoch: 117 Val Acc: 0.43
Epoch 118 Train Loss: 489.5270089507103
Epoch: 118 True Loss: 569.0596667528152
Epoch: 118 Val Acc: 0.438
Epoch 119 Train Loss: 488.885950088501
Epoch: 119 True Loss: 564.7149089574814
Epoch: 119 Val Acc: 0.4385
Epoch 120 Train Loss: 486.1375777721405
Epoch: 120 True Loss: 554.96917116642
Epoch: 120 Val Acc: 0.4445
Epoch 121 Train Loss: 486.68710064888
Epoch: 121 True Loss: 563.4198858737946
Epoch: 121 Val Acc: 0.4405
Epoch 122 Train Loss: 486.39379531145096
Epoch: 122 True Loss: 564.8619786500931
Epoch: 122 Val Acc: 0.4435
Epoch 123 Train Loss: 483.94140166044235
Epoch: 123 True Loss: 554.595651268959
Epoch: 123 Val Acc: 0.448
Epoch 124 Train Loss: 484.7166213989258
Epoch: 124 True Loss: 555.5919678211212
Epoch: 124 Val Acc: 0.454
Epoch 125 Train Loss: 484.88320195674896
Epoch: 125 True Loss: 566.0494810342789
Epoch: 125 Val Acc: 0.4455
Epoch 126 Train Loss: 483.9007308483124
Epoch: 126 True Loss: 572.5393302440643
Epoch: 126 Val Acc: 0.431
Epoch 127 Train Loss: 481.73956966400146
Epoch: 127 True Loss: 554.4351875782013
Epoch: 127 Val Acc: 0.4415
Epoch 128 Train Loss: 481.4027591943741
Epoch: 128 True Loss: 557.5800006389618
Epoch: 128 Val Acc: 0.446
Epoch 129 Train Loss: 481.0644600391388
Epoch: 129 True Loss: 567.6614999771118
Epoch: 129 Val Acc: 0.4465
Epoch 130 Train Loss: 479.6921194791794
Epoch: 130 True Loss: 557.074706196785
Epoch: 130 Val Acc: 0.4485
Epoch 131 Train Loss: 477.0090771317482
Epoch: 131 True Loss: 562.9093208312988
Epoch: 131 Val Acc: 0.4495
Epoch 132 Train Loss: 478.1580744981766
Epoch: 132 True Loss: 549.1370869874954
Epoch: 132 Val Acc: 0.4525
Epoch 133 Train Loss: 478.7074385881424
Epoch: 133 True Loss: 559.3199405670166
Epoch: 133 Val Acc: 0.4395
Epoch 134 Train Loss: 480.05312609672546
Epoch: 134 True Loss: 566.4358388185501
Epoch: 134 Val Acc: 0.4425
Epoch 135 Train Loss: 475.9194019436836
Epoch: 135 True Loss: 549.7317844629288
Epoch: 135 Val Acc: 0.448
Epoch 136 Train Loss: 473.78726226091385
Epoch: 136 True Loss: 550.6786764860153
Epoch: 136 Val Acc: 0.4515
Epoch 137 Train Loss: 476.07563012838364
Epoch: 137 True Loss: 552.7171696424484
Epoch: 137 Val Acc: 0.442
Epoch 138 Train Loss: 473.98898577690125
Epoch: 138 True Loss: 553.5604718923569
Epoch: 138 Val Acc: 0.4455
Epoch 139 Train Loss: 473.53765773773193
Epoch: 139 True Loss: 551.0926988124847
Epoch: 139 Val Acc: 0.443
Epoch 140 Train Loss: 472.4189668893814
Epoch: 140 True Loss: 563.9752676486969
Epoch: 140 Val Acc: 0.444
Epoch 141 Train Loss: 473.70527780056
Epoch: 141 True Loss: 565.4432295560837
Epoch: 141 Val Acc: 0.4295
Epoch 142 Train Loss: 474.317300260067
Epoch: 142 True Loss: 561.2293832302094
Epoch: 142 Val Acc: 0.455
Epoch 143 Train Loss: 472.3834594488144
Epoch: 143 True Loss: 553.1618945598602
Epoch: 143 Val Acc: 0.439
Epoch 144 Train Loss: 470.0223900079727
Epoch: 144 True Loss: 560.694806098938
Epoch: 144 Val Acc: 0.4315
Epoch 145 Train Loss: 468.76506477594376
Epoch: 145 True Loss: 562.0730874538422
Epoch: 145 Val Acc: 0.432
Epoch 146 Train Loss: 470.7436098456383
Epoch: 146 True Loss: 548.188516497612
Epoch: 146 Val Acc: 0.4425
Epoch 147 Train Loss: 467.91760897636414
Epoch: 147 True Loss: 552.4546313285828
Epoch: 147 Val Acc: 0.437
Epoch 148 Train Loss: 468.5486831665039
Epoch: 148 True Loss: 551.5481445789337
Epoch: 148 Val Acc: 0.437
Epoch 149 Train Loss: 467.36653584241867
Epoch: 149 True Loss: 547.5532065629959
Epoch: 149 Val Acc: 0.4485
Epoch 150 Train Loss: 468.74569022655487
Epoch: 150 True Loss: 550.427911400795
Epoch: 150 Val Acc: 0.456
Epoch 151 Train Loss: 467.4765382409096
Epoch: 151 True Loss: 549.8443373441696
Epoch: 151 Val Acc: 0.437
Epoch 152 Train Loss: 465.18896013498306
Epoch: 152 True Loss: 538.1454448699951
Epoch: 152 Val Acc: 0.4545
Epoch 153 Train Loss: 466.11789751052856
Epoch: 153 True Loss: 539.8117411136627
Epoch: 153 Val Acc: 0.452
Epoch 154 Train Loss: 466.07014214992523
Epoch: 154 True Loss: 536.5953481197357
Epoch: 154 Val Acc: 0.4425
Epoch 155 Train Loss: 464.949760556221
Epoch: 155 True Loss: 537.794331908226
Epoch: 155 Val Acc: 0.453
Epoch 156 Train Loss: 462.4265822172165
Epoch: 156 True Loss: 537.9912583827972
Epoch: 156 Val Acc: 0.4585
Epoch 157 Train Loss: 462.0077006816864
Epoch: 157 True Loss: 550.390622138977
Epoch: 157 Val Acc: 0.4355
Epoch 158 Train Loss: 461.44488275051117
Epoch: 158 True Loss: 552.0112285614014
Epoch: 158 Val Acc: 0.438
Epoch 159 Train Loss: 462.4178075790405
Epoch: 159 True Loss: 532.7515295743942
Epoch: 159 Val Acc: 0.454
Epoch 160 Train Loss: 461.2029911875725
Epoch: 160 True Loss: 546.4847868680954
Epoch: 160 Val Acc: 0.446
Epoch 161 Train Loss: 460.7892246246338
Epoch: 161 True Loss: 539.5639848709106
Epoch: 161 Val Acc: 0.4455
Epoch 162 Train Loss: 461.21064084768295
Epoch: 162 True Loss: 545.8762617111206
Epoch: 162 Val Acc: 0.4495
Epoch 163 Train Loss: 460.86777251958847
Epoch: 163 True Loss: 533.627771615982
Epoch: 163 Val Acc: 0.45
Epoch 164 Train Loss: 461.16497814655304
Epoch: 164 True Loss: 535.0738562345505
Epoch: 164 Val Acc: 0.453
Epoch 165 Train Loss: 458.07047975063324
Epoch: 165 True Loss: 531.4945939779282
Epoch: 165 Val Acc: 0.449
Epoch 166 Train Loss: 458.0232877135277
Epoch: 166 True Loss: 531.3444945812225
Epoch: 166 Val Acc: 0.441
Epoch 167 Train Loss: 456.72344440221786
Epoch: 167 True Loss: 549.5008702278137
Epoch: 167 Val Acc: 0.439
Epoch 168 Train Loss: 457.86643582582474
Epoch: 168 True Loss: 528.8202192783356
Epoch: 168 Val Acc: 0.447
Epoch 169 Train Loss: 457.5108366012573
Epoch: 169 True Loss: 524.4612218141556
Epoch: 169 Val Acc: 0.443
Epoch 170 Train Loss: 455.58656829595566
Epoch: 170 True Loss: 537.4603760242462
Epoch: 170 Val Acc: 0.4495
Epoch 171 Train Loss: 455.9283648133278
Epoch: 171 True Loss: 533.1553001403809
Epoch: 171 Val Acc: 0.45
Epoch 172 Train Loss: 455.2196843624115
Epoch: 172 True Loss: 534.9265518188477
Epoch: 172 Val Acc: 0.4505
Epoch 173 Train Loss: 455.4444065093994
Epoch: 173 True Loss: 523.4970144033432
Epoch: 173 Val Acc: 0.456
Epoch 174 Train Loss: 452.87714862823486
Epoch: 174 True Loss: 539.1785197257996
Epoch: 174 Val Acc: 0.4485
Epoch 175 Train Loss: 452.9029230475426
Epoch: 175 True Loss: 528.6697902679443
Epoch: 175 Val Acc: 0.441
Epoch 176 Train Loss: 453.04020911455154
Epoch: 176 True Loss: 517.7917468547821
Epoch: 176 Val Acc: 0.457
Epoch 177 Train Loss: 450.5161420106888
Epoch: 177 True Loss: 521.034073650837
Epoch: 177 Val Acc: 0.451
Epoch 178 Train Loss: 451.5282405614853
Epoch: 178 True Loss: 528.2447517514229
Epoch: 178 Val Acc: 0.451
Epoch 179 Train Loss: 451.9226240515709
Epoch: 179 True Loss: 522.3498022556305
Epoch: 179 Val Acc: 0.4545
Epoch 180 Train Loss: 453.18422466516495
Epoch: 180 True Loss: 531.6089516878128
Epoch: 180 Val Acc: 0.4515
Epoch 181 Train Loss: 447.58612221479416
Epoch: 181 True Loss: 526.4828684926033
Epoch: 181 Val Acc: 0.4395
Epoch 182 Train Loss: 451.07472652196884
Epoch: 182 True Loss: 514.8059863448143
Epoch: 182 Val Acc: 0.451
Epoch 183 Train Loss: 452.2535388469696
Epoch: 183 True Loss: 519.7789595127106
Epoch: 183 Val Acc: 0.4525
Epoch 184 Train Loss: 448.99824196100235
Epoch: 184 True Loss: 525.6579107046127
Epoch: 184 Val Acc: 0.451
Epoch 185 Train Loss: 449.0982004404068
Epoch: 185 True Loss: 523.1857273578644
Epoch: 185 Val Acc: 0.4435
Epoch 186 Train Loss: 447.807992041111
Epoch: 186 True Loss: 518.3966421484947
Epoch: 186 Val Acc: 0.448
Epoch 187 Train Loss: 449.0697881579399
Epoch: 187 True Loss: 531.3915839195251
Epoch: 187 Val Acc: 0.444
Epoch 188 Train Loss: 448.57788306474686
Epoch: 188 True Loss: 524.6536872386932
Epoch: 188 Val Acc: 0.436
Epoch 189 Train Loss: 447.556168615818
Epoch: 189 True Loss: 534.3254095315933
Epoch: 189 Val Acc: 0.4545
Epoch 190 Train Loss: 447.9784535765648
Epoch: 190 True Loss: 510.0693044066429
Epoch: 190 Val Acc: 0.456
Epoch 191 Train Loss: 444.534211397171
Epoch: 191 True Loss: 513.0005306601524
Epoch: 191 Val Acc: 0.462
Epoch 192 Train Loss: 447.10918295383453
Epoch: 192 True Loss: 528.2491182088852
Epoch: 192 Val Acc: 0.44
Epoch 193 Train Loss: 446.2110788822174
Epoch: 193 True Loss: 526.3202505111694
Epoch: 193 Val Acc: 0.439
Epoch 194 Train Loss: 443.03781539201736
Epoch: 194 True Loss: 513.9179421067238
Epoch: 194 Val Acc: 0.446
Epoch 195 Train Loss: 442.9947938323021
Epoch: 195 True Loss: 520.6061290502548
Epoch: 195 Val Acc: 0.452
Epoch 196 Train Loss: 441.7887632846832
Epoch: 196 True Loss: 514.9204578399658
Epoch: 196 Val Acc: 0.45
Epoch 197 Train Loss: 441.1308368444443
Epoch: 197 True Loss: 518.5377154350281
Epoch: 197 Val Acc: 0.457
Epoch 198 Train Loss: 443.9767135977745
Epoch: 198 True Loss: 513.4095007777214
Epoch: 198 Val Acc: 0.4475
Epoch 199 Train Loss: 442.1133235692978
Epoch: 199 True Loss: 522.5942224264145
Epoch: 199 Val Acc: 0.4455
Epoch 200 Train Loss: 402.4034243822098
Epoch: 200 True Loss: 479.9205483198166
Epoch: 200 Val Acc: 0.4675
Epoch 201 Train Loss: 391.37612879276276
Epoch: 201 True Loss: 477.82129138708115
Epoch: 201 Val Acc: 0.459
Epoch 202 Train Loss: 386.9116463661194
Epoch: 202 True Loss: 472.9427642226219
Epoch: 202 Val Acc: 0.4675
Epoch 203 Train Loss: 384.93575978279114
Epoch: 203 True Loss: 473.08489096164703
Epoch: 203 Val Acc: 0.4665
Epoch 204 Train Loss: 383.8834459781647
Epoch: 204 True Loss: 471.4990499019623
Epoch: 204 Val Acc: 0.474
Epoch 205 Train Loss: 380.5155260562897
Epoch: 205 True Loss: 471.85415756702423
Epoch: 205 Val Acc: 0.4775
Epoch 206 Train Loss: 381.7155126929283
